428333	2097571	{}
428333	16139105	{}
428333	57751453	{}
428333	9245812	{}
428333	9630082	{}
428333	22771961	{}
428333	34310801	{}
428333	110458336	{}
428333	104446737	{}
428333	27901418	{}
428333	42703075	{}
428333	15224941	{}
428333	174377718	{}
428333	759251	{}
428333	21401086	{}
428333	26003862	{}
428333	23572083	{}
428333	21456186	{}
428333	127569781	{}
428333	30043495	{}
428333	47694175	{}
428333	16167236	{}
428333	27719762	{}
428333	85243004	{}
428333	120236782	{}
428333	20109439	{}
428333	9567972	{}
428333	71294756	{}
428333	21875245	{}
428333	16184358	{}
428333	11018782	{}
428333	17820724	{}
428333	24797315	{}
428333	41602160	{}
428333	119245817	{}
428333	26213879	{}
428333	17291529	{}
428333	27885519	{}
428333	15903303	{}
428333	210185719	{}
428333	35629711	{}
428333	9423132	{}
428333	105153029	{}
428333	15909010	{}
428333	16367980	{}
428333	236488883	{}
428333	40654543	{}
428333	45536687	{}
428333	113430220	{}
428333	36480504	{}
428333	15046817	{}
428333	86902774	{}
428333	9252212	{}
428333	78231411	{}
428333	145724592	{}
428333	22539758	{}
428333	104851609	{}
428333	83590349	{}
428333	18097821	{}
428333	22958682	{}
428333	41577194	{}
428333	15214543	{}
428333	317313520	{}
428333	20642310	{}
428333	112391041	{}
428333	17112878	{}
428333	108617810	{}
428333	69480815	{}
428333	30244233	{}
428333	216299334	{}
428333	13850422	{}
428333	16681542	{}
428333	46817943	{}
428333	44935627	{}
428333	16724361	{}
428333	80638910	{}
428333	18170896	{}
428333	9411482	{}
428333	15224867	{}
44439507	14184643	{}
44439507	15449847	{}
44439507	14139554	{}
44439507	10052652	{}
44439507	23600591	{}
44439507	15047100	{}
44439507	135196270	{}
44439507	21582868	{}
44439507	14197566	{}
44439507	42027263	{}
44439507	47539748	{}
44439507	5904412	{}
44439507	41583714	{}
44439507	49285717	{}
44439507	9228282	{}
44439507	16404046	{}
72567109	16716943	{}
72567109	10429392	{}
72567109	37701975	{}
72567109	15473958	{}
72567109	104301101	{}
72567109	68617885	{}
72567109	17813220	{}
72567109	16461897	{}
72567109	16103751	{}
72567109	20212130	{}
72567109	14140826	{}
72567109	17435044	{}
72567109	74877903	{}
54682125	2557521	{}
54682125	86330674	{}
54682125	24613394	{}
54682125	12133382	{}
54682125	15416955	{}
63548138	38024317	{}
63548138	10429392	{}
63548138	50752274	{}
63548138	16103751	{}
63548138	20212130	{}
63548138	52291716	{}
9954912	50333404	{}
9954912	58946189	{}
9954912	105588043	{}
9954912	17241403	{}
9954912	29053014	{}
9954912	245206933	{}
9954912	37978929	{}
9954912	101614836	{}
9954912	21982720	{}
9954912	15492359	{}
9954912	211709248	{}
9954912	12309212	{}
9954912	23999210	{}
9954912	52430945	{}
9954912	211677235	{}
9954912	62638759	{}
9954912	123310100	{}
9954912	82963512	{}
9954912	278043436	{}
9954912	369020620	{}
9954912	26902126	{}
9954912	27229018	{}
9954912	14761795	{}
9954912	164700225	{}
9954912	128353822	{}
9954912	181758848	{}
9954912	340507425	{}
9954912	126746933	{}
9954912	19759726	{}
9954912	33933259	{}
9954912	96171488	{}
9954912	268978171	{}
9954912	621563	{}
9954912	463945780	{}
9954912	82282572	{}
9954912	96645239	{}
9954912	12343872	{}
9954912	20280065	{}
9954912	147643460	{}
9954912	81211232	{}
9954912	36425450	{}
9954912	3223771	{}
9954912	321415732	{}
9954912	273568304	{}
9954912	249173310	{}
9954912	506073380	{}
9954912	184889533	{}
9954912	8151682	{}
9954912	57061271	{}
